,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,state,zip,year_sold,age_of_house
0,5/2/2014 0:00,313000.0,3,1.5,1340,7912,1.5,3,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,WA,98133,2014-05-02,66
1,5/2/2014 0:00,2384000.0,5,2.5,3650,9050,2.0,5,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,WA,98119,2014-05-02,100
2,5/2/2014 0:00,342000.0,3,2.0,1930,11947,1.0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,WA,98042,2014-05-02,55
3,5/2/2014 0:00,420000.0,3,2.25,2000,8030,1.0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,WA,98008,2014-05-02,58
4,5/2/2014 0:00,550000.0,4,2.5,1940,10500,1.0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,WA,98052,2014-05-02,45
5,5/2/2014 0:00,490000.0,2,1.0,880,6380,1.0,3,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,WA,98115,2014-05-02,83
6,5/2/2014 0:00,335000.0,2,2.0,1350,2560,1.0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,WA,98052,2014-05-02,45
7,5/2/2014 0:00,482000.0,4,2.5,2710,35868,2.0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,WA,98038,2014-05-02,32
8,5/2/2014 0:00,452500.0,3,2.5,2430,88426,1.0,4,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,WA,98045,2014-05-02,36
9,5/2/2014 0:00,640000.0,4,2.0,1520,6200,1.5,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,WA,98115,2014-05-02,76
10,5/2/2014 0:00,463000.0,3,1.75,1710,7320,1.0,3,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,WA,98155,2014-05-02,73
11,5/2/2014 0:00,1400000.0,4,2.5,2920,4000,1.5,5,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,WA,98105,2014-05-02,112
12,5/2/2014 0:00,588500.0,3,1.75,2330,14892,1.0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,WA,98074,2014-05-02,41
13,5/2/2014 0:00,365000.0,3,1.0,1090,6435,1.0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,WA,98106,2014-05-02,66
14,5/2/2014 0:00,1200000.0,5,2.75,2910,9480,1.5,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,WA,98105,2014-05-02,82
15,5/2/2014 0:00,242500.0,3,1.5,1200,9720,1.0,4,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,WA,98042,2014-05-02,56
16,5/2/2014 0:00,419000.0,3,1.5,1570,6700,1.0,4,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,WA,98007,2014-05-02,65
17,5/2/2014 0:00,367500.0,4,3.0,3110,7231,2.0,3,3110,0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,WA,98092,2014-05-02,24
18,5/2/2014 0:00,257950.0,3,1.75,1370,5858,1.0,3,1370,0,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,WA,98198,2014-05-02,34
19,5/2/2014 0:00,275000.0,3,1.5,1180,10277,1.0,3,1180,0,1983,2009,12425 415th Ave SE,North Bend,WA 98045,WA,98045,2014-05-02,38
20,5/2/2014 0:00,750000.0,3,1.75,2240,10578,2.0,5,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,WA,98115,2014-05-02,98
21,5/2/2014 0:00,435000.0,4,1.0,1450,8800,1.0,4,1450,0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,WA,98006,2014-05-02,67
22,5/2/2014 0:00,626000.0,3,2.25,1750,1572,2.5,3,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,WA,98102,2014-05-02,16
23,5/2/2014 0:00,612500.0,4,2.5,2730,12261,2.0,3,2730,0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,WA,98011,2014-05-02,30
24,5/2/2014 0:00,495000.0,4,1.75,1600,6380,1.0,3,1130,470,1959,1989,2021 NE 100th St,Seattle,WA 98125,WA,98125,2014-05-02,62
25,5/2/2014 0:00,285000.0,3,2.5,2090,10834,1.0,4,1360,730,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,WA,98003,2014-05-02,34
26,5/2/2014 0:00,615000.0,3,1.75,2360,7291,1.0,4,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,WA,98136,2014-05-02,73
27,5/2/2014 0:00,698000.0,4,2.25,2200,11250,1.5,5,1300,900,1920,0,1036 4th St,Kirkland,WA 98033,WA,98033,2014-05-02,101
28,5/2/2014 0:00,675000.0,5,2.5,2820,67518,2.0,3,2820,0,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,WA,98029,2014-05-02,42
